Birmingham-Hoover, AL|150|10.3
Tuscaloosa, AL|54|9.1
Anchorage, AK|92|9.4
Phoenix-Mesa-Scottsdale, AZ|922|9.9
Fayetteville-Springdale-Rogers, AR-MO|62|5.9
Little Rock-North Little Rock-Conway, AR|106|9.5
Los Angeles-Long Beach-Anaheim, CA|159|7.5
Oakland-Hayward-Berkeley, CA|68|9.1
Riverside-San Bernardino-Ontario, CA|64|5.5
Sacramento–Roseville–Arden-Arcade, CA|121|11.2
Colorado Springs, CO|123|10.5
Denver-Aurora-Lakewood, CO|423|9.1
Hartford-West Hartford-East Hartford, CT|365|11.4
Washington-Arlington-Alexandria, DC-VA-MD-WV|778|7.8
Crestview-Fort Walton Beach-Destin, FL|48|6.6
Deltona-Daytona Beach-Ormond Beach, FL|72|9.4
Gainesville, FL|43|6.4
Jacksonville, FL|171|12.7
Miami-Fort Lauderdale-West Palm Beach, FL|85|5.8
North Port-Sarasota-Bradenton, FL|57|6.0
Orlando-Kissimmee-Sanford, FL|128|7.8
Panama City, FL|62|8.1
Pensacola-Ferry Pass-Brent, FL|46|6.4
Port St. Lucie, FL|47|5.5
Tallahassee, FL|65|6.9
Tampa-St. Petersburg-Clearwater, FL|144|8.7
Atlanta-Sandy Springs-Roswell, GA|216|7.7
Augusta-Richmond County, GA-SC|63|7.8
Kahului-Wailuku-Lahaina, HI|147|10.9
Boise City, ID|117|8.0
Chicago-Naperville-Elgin, IL-IN-WI|415|7.8
Evansville, IN-KY|61|10.6
Fort Wayne, IN|92|10.7
Indianapolis-Carmel-Anderson, IN|435|10.0
South Bend-Mishawaka, IN-MI|28|3.3
Cedar Rapids, IA|45|7.5
Des Moines-West Des Moines, IA|114|9.0
Omaha-Council Bluffs, NE-IA|260|7.9
Sioux City, IA-NE-SD|62|7.2
Kansas City, MO-KS|662|8.5
Manhattan, KS|74|8.5
Salina, KS|54|8.8
Topeka, KS|165|10.3
Wichita, KS|347|9.0
Huntington-Ashland, WV-KY-OH|171|15.0
Lexington-Fayette, KY|54|12.1
Louisville/Jefferson County, KY-IN|229|11.1
Baton Rouge, LA|60|9.3
New Orleans-Metairie, LA|74|9.1
Portland-South Portland, ME|246|9.3
Baltimore-Columbia-Towson, MD|470|10.3
Hagerstown-Martinsburg, MD-WV|97|14.4
Salisbury, MD-DE|183|9.0
Silver Spring-Frederick-Rockville, MD|180|6.8
Boston, MA|204|12.2
Cambridge-Newton-Framingham, MA|248|10.2
Springfield, MA|80|11.5
Worcester, MA-CT|203|15.0
Grand Rapids-Wyoming, MI|94|10.0
Lansing-East Lansing, MI|52|9.3
Warren-Troy Farmington Hills, MI|259|9.9
Duluth, MN-WI|88|8.8
Minneapolis-St. Paul-Bloomington, MN-WI|603|7.2
Rochester, MN|56|8.8
St. Cloud, MN|47|8.0
Jackson, MS|45|6.9
St. Louis, MO-IL|213|10.1
Billings, MT|66|11.4
Grand Island, NE|51|6.3
Lincoln, NE|144|9.9
North Platte, NE|55|9.3
Scottsbluff, NE|41|6.9
Reno, NV|131|10.6
Claremont-Lebanon, NH-VT|203|14.0
Rockingham County-Strafford County, NH|168|13.8
Camden, NJ|156|10.0
Newark, NJ-PA|328|9.2
Wilmington, DE-MD-NJ|260|11.1
Albuquerque, NM|168|10.0
Albany-Schenectady-Troy, NY|61|9.9
Buffalo-Cheektowaga-Niagara Falls, NY|60|10.6
Nassau County-Suffolk County, NY|89|7.1
New York-Jersey City-White Plains, NY-NJ|712|8.0
Rochester, NY|60|11.6
Charlotte-Concord-Gastonia, NC-SC|146|9.8
Bismarck, ND|105|10.6
Fargo, ND-MN|90|6.8
Grand Forks, ND-MN|43|6.9
Minot, ND|59|9.6
Cincinnati, OH-KY-IN|154|8.2
Cleveland-Elyria, OH|110|10.7
Columbus, OH|178|9.1
Dayton, OH|54|9.2
Toledo, OH|67|9.6
Oklahoma City, OK|221|8.8
Tulsa, OK|108|9.6
Portland-Vancouver-Hillsboro, OR-WA|317|10.0
Allentown-Bethlehem-Easton, PA-NJ|87|10.6
Montgomery County-Bucks County-Chester County, PA|63|9.9
Philadelphia, PA|106|10.5
Pittsburgh, PA|108|7.5
Providence-Warwick, RI-MA|738|12.5
Charleston-North Charleston, SC|143|9.7
Columbia, SC|106|9.5
Florence, SC|47|7.5
Greenville-Anderson-Mauldin, SC|137|9.9
Hilton Head Island-Bluffton-Beaufort, SC|35|5.3
Myrtle Beach-Conway-North Myrtle Beach, SC-NC|79|6.8
Spartanburg, SC|58|8.0
Aberdeen, SD|39|7.1
Rapid City, SD|80|7.3
Sioux Falls, SD|84|5.8
Kingsport-Bristol-Bristol, TN-VA|73|14.7
Knoxville, TN|64|11.7
Memphis, TN-MS-AR|82|8.1
Nashville-Davidson–Murfreesboro–Franklin, TN|75|8.5
Austin-Round Rock, TX|134|7.5
Corpus Christi, TX|57|7.4
Dallas-Plano-Irving, TX|88|9.1
El Paso, TX|32|7.2
Fort Worth-Arlington, TX|56|9.1
Houston-The Woodlands-Sugar Land, TX|178|5.9
San Antonio-New Braunfels, TX|54|6.5
Ogden-Clearfield, UT|172|10.0
Provo-Orem, UT|125|7.3
Salt Lake City, UT|317|9.3
Burlington-South Burlington, VT|172|11.4
Richmond, VA|123|7.2
Virginia Beach-Norfolk-Newport News, VA-NC|204|10.7
Seattle-Bellevue-Everett, WA|359|8.6
Spokane-Spokane Valley, WA|125|11.5
Charleston, WV|81|9.8
Milwaukee-Waukesha-West Allis, WI|115|9.0
San Juan-Carolina-Caguas, PR|345|11.7
Median||9.1
Range (Minimum–Maximum)||3.3%–15.0%
